"Transcript Cluster ID","GenX_100uM vs. GenX_UT","Gene Symbol","0.1uMFold Change","10uMFold Change"
"TC0100009716.hg.1",1.07,"SRGAP2-AS1; RP11-289H16.1",2.201398,1.657835
"TC0100009745.hg.1",2.06,"POLR3C",1.428885,1.253854
"TC0100009759.hg.1",-2.27,"RNU6-1071P",1.523659,1.280858
"TC0100009770.hg.1",1.62,"NBPF12",-1.240653,-2.114152
"TC0100009800.hg.1",1.47,"GPR89B",1.049113,-3.16973
"TC0100009832.hg.1",-2.27,"RNU6-1171P",1.523659,1.280858
"TC0100009889.hg.1",2.23,"VPS45",1.706275,1.10751
"TC0100009903.hg.1",3.17,"RPRD2",1.11238,1
"TC0100009936.hg.1",-1.1,"BNIPL",-2.294135,-2.294135
"TC0100009965.hg.1",2.02,"SNX27",1.548015,1.835343
"TC0100009978.hg.1",2.33,"LOC100132111; AL450992.2",-1.264222,-1.264222
"TC0100009987.hg.1",-2.71,"RP11-107M16.2",1,1
"TC0100009992.hg.1",-2.73,"HMGN3P1",1.173917,-1.164177
"TC0100010002.hg.1",-2.21,"LCE4A",1.026412,1.552464
"TC0100010006.hg.1",2.06,"KPRP",1,1.097325
"TC0100010044.hg.1",3.12,"CHTOP",1.242547,1
"TC0100010100.hg.1",1.78,"CKS1B",2.352264,1.774608
"TC0100010118.hg.1",1.98,"MIR92B",-1.081715,2.442096
"TC0100010140.hg.1",-2.16,"SYT11",1.221421,1.221421
"TC0100010184.hg.1",1.11,"TTC24",-2.541957,-1.662218
"TC0100010188.hg.1",1.44,"BCAN",-1.815504,-2.080139
"TC0100010243.hg.1",-1.07,"PYHIN1",-2.554286,-1.278897
"TC0100010259.hg.1",1.69,"APCS",2.375696,1.335047
"TC0100010276.hg.1",-1.1,"LINC01133",2.194862,2.239195
"TC0100010320.hg.1",-2.12,"LOC101928372; RP11-544M22.1",1,1
"TC0100010334.hg.1",2.47,"UFC1",1.290554,-1.082945
"TC0100010381.hg.1",2.01,"UAP1",1.089261,-1.705601
"TC0100010408.hg.1",1.5,"U3",-1.222149,-2.121082
"TC0100010479.hg.1",-1.38,"FMO7P",2.062309,1.221768
"TC0100010546.hg.1",-2.62,"BLZF1",1.185676,-1.061394
"TC0100010561.hg.1",-2.51,"RP11-297H3.3",-1.066209,1
"TC0100010572.hg.1",-2.07,"RP1-79C4.4",1.395382,1.981098
"TC0100010586.hg.1",1.02,"FMO4",-1.358647,-2.748968
"TC0100010623.hg.1",-1.09,"SUCO",-1.32442,-3.170939
"TC0100010664.hg.1",-2.63,"ZBTB37",1.091604,1
"TC0100010672.hg.1",2.3,"RABGAP1L",1,1
"TC0100010720.hg.1",2.41,"BRINP2",-1.160422,1.228809
"TC0100010735.hg.1",2.61,"RASAL2",-1.222166,-1.222166
"TC0100010827.hg.1",1.42,"RNA5SP70",2.892166,1
"TC0100010863.hg.1",2.55,"LAMC1",1,1.488707
"TC0100010923.hg.1",2.4,"PRG4",1.108078,1.108078
"TC0100010961.hg.1",-1.09,"RPS3AP9",2.289274,-1.480906
"TC0100011203.hg.1",2.01,"RNPEP",-1.236455,-1.399935
"TC0100011267.hg.1",3.99,"ATP2B4",1.166285,1.166285
"TC0100011358.hg.1",1.21,"LOC103021295",2.130821,1.262567
"TC0100011458.hg.1",2.19,"TRAF3IP3",1,1
"TC0100011489.hg.1",5.84,"LINC00467",1.169644,1.169644
"TC0100011520.hg.1",-1.09,"PPP2R5A",-1.396031,-2.193843
"TC0100011523.hg.1",1.04,"SNORA16B",-2.249384,-2.016649
"TC0100011531.hg.1",-1.02,"LOC101929565; RP11-61J19.3",2.547708,1.061453
"TC0100011559.hg.1",1.28,"RP11-554K11.2",1.646908,2.010619
"TC0100011566.hg.1",1.5,"PROX1",-1.217954,-2.013227
"TC0100011675.hg.1",-1.52,"RP11-103C3.1",-3.279441,-1.777033
"TC0100011708.hg.1",-2.42,"RP11-239E10.3",1.38908,1
"TC0100011879.hg.1",1.27,"SNORA51",-2.040822,-2.291449
"TC0100011881.hg.1",2.21,"FTH1P2",-1.095243,-1.214136
"TC0100011892.hg.1",-1.06,"ISCA1P2",1,2.443789
"TC0100011904.hg.1",2.45,"RNU6-180P",1,1.161404
"TC0100011920.hg.1",3,"GALNT2",-1.875468,1.212807
"TC0100012053.hg.1",-2.02,"RPL23AP23",1.59506,1
