"Transcript Cluster ID","GenX_100uM vs. GenX_UT","Gene Symbol","0.1uMFold Change","10uMFold Change"
"TC0200008534.hg.1",1.74,"ANKRD36",1,-2.70399
"TC0200008556.hg.1",-1.16,"ZAP70",-1.875506,-2.066616
"TC0200008564.hg.1",1.83,"ATP5BP1",-1.531824,-2.011009
"TC0200008569.hg.1",-1.05,"INPP4A",-2.158845,-2.542152
"TC0200008588.hg.1",-1.91,"RP11-527J8.1",3.421028,2.318948
"TC0200008632.hg.1",1.49,"RPL31",2.003164,1.246048
"TC0200008823.hg.1",2.25,"RGPD6; RGPD5",-1.387695,-1.936391
"TC0200008870.hg.1",1.05,"BCL2L11",1,2.04575
"TC0200008894.hg.1",2.46,"MERTK",1.094726,1.064643
"TC0200008930.hg.1",2.15,"SLC20A1",-1.075815,-1.075815
"TC0200009043.hg.1",-2.91,"HTR5BP",1.187123,1.666256
"TC0200009128.hg.1",3.65,"NIFK-AS1",1,1.971071
"TC0200009174.hg.1",1.12,"RNU6-259P",-1.032642,2.118084
"TC0200009239.hg.1",2.12,"UGGT1",-1.104421,-1.526779
"TC0200009287.hg.1",-1.07,"MED15P5",1,2.229933
"TC0200009343.hg.1",-1.34,"LOC150776",-2.102914,-1.572729
"TC0200009350.hg.1",1.08,"C2orf27A",1,2.112249
"TC0200009436.hg.1",1.31,"SNORA40",1.039061,2.1361
"TC0200009470.hg.1",-1.61,"HNMT",-1.149216,-3.736377
"TC0200009487.hg.1",1.45,"SPOPL",-2.396934,-2.396934
"TC0200009495.hg.1",-1.04,"YY1P2",2.065327,1.472696
"TC0200009504.hg.1",1.21,"SNORA72",-1.096648,2.565891
"TC0200009519.hg.1",-1,"Y_RNA",-1.0545,2.688162
"TC0200009537.hg.1",1.13,"KYNU",1.053573,-2.238559
"TC0200009583.hg.1",-2.01,"AC062031.1",1.28707,1.163096
"TC0200009702.hg.1",-1.26,"PHBP4",-2.081899,-2.266569
"TC0200009713.hg.1",1.26,"ATP5A1P2",2.474917,1.14074
"TC0200009739.hg.1",2.05,"GALNT5",1.295762,1.295762
"TC0200009829.hg.1",1.48,"GCA",2.014511,-1.159514
"TC0200009911.hg.1",-1.23,"PPIG",-1.126901,-2.322922
"TC0200009933.hg.1",1.16,"ERICH2",1.629207,2.463671
"TC0200009938.hg.1",2.08,"GORASP2",1.022662,1
"TC0200009978.hg.1",3.2,"PDK1",1,-1.167514
"TC0200009997.hg.1",-1.32,"RP11-796E10.1",-2.947455,-1.717809
"TC0200010001.hg.1",1.19,"RP11-394I13.2",1.204504,-2.557777
"TC0200010006.hg.1",-1.39,"LINC01305",2.040921,1
"TC0200010021.hg.1",2.13,"H3F3AP4; H3F3A; H3F3B",1.018305,1.026703
"TC0200010166.hg.1",1.1,"RNA5SP113",2.065413,1.228928
"TC0200010236.hg.1",-2.21,"GULP1",1.113121,1.20903
"TC0200010252.hg.1",-1.71,"ASNSD1",-1.044216,-3.30065
"TC0200010284.hg.1",1.14,"MYO1B",-1.919858,-3.007864
"TC0200010286.hg.1",1.04,"RNU6-1045P",-1.130123,-2.300664
"TC0200010338.hg.1",2.05,"RN7SL820P",-1.009968,1
"TC0200010345.hg.1",1.22,"ANKRD44",-2.825115,-1.163394
"TC0200010444.hg.1",-1.1,"RNU7-45P",2.567226,-1.085101
"TC0200010473.hg.1",2.14,"FZD7",1.106881,1.106881
"TC0200010489.hg.1",-1.14,"BMPR2",-1.618448,-3.498388
"TC0200010511.hg.1",1.15,"NBEAL1",-1.439852,-2.906273
"TC0200010523.hg.1",-2.35,"CD28",-1.399625,-1.384438
"TC0200010524.hg.1",1.19,"RNU6-474P",1.28534,3.652793
"TC0200010525.hg.1",-3.42,"CTLA4",1,-1.016042
"TC0200010536.hg.1",-2.07,"PARD3B",-1.254228,1.146185
"TC0200010545.hg.1",2.57,"NRP2",-1.277222,1
"TC0200010554.hg.1",-1.1,"AC007679.3",-2.380855,-1.774312
"TC0200010567.hg.1",1.21,"EEF1B2; SNORA41",2.088403,1.34422
"TC0200010583.hg.1",-2.78,"MIR3130-2",1.074347,1.074347
"TC0200010751.hg.1",-2.78,"AC007563.3",1,1
"TC0200010788.hg.1",2.03,"ARPC2",1.138599,-1.059189
"TC0200010791.hg.1",-1.16,"PNKD; MIR6810",-3.184398,-1.861673
"TC0200010877.hg.1",-1.45,"TMEM256P2",-2.007403,1.093126
"TC0200010971.hg.1",-2.51,"COL4A3",1.078952,1.058484
"TC0200010972.hg.1",2.23,"MFF",1.096686,1.537003
"TC0200010980.hg.1",1.82,"CCL20",3.373883,1.360502
"TC0200011022.hg.1",1.27,"SP140L",2.133852,2.085814
"TC0200011107.hg.1",-1.21,"EFHD1",-2.374823,-1.084853
"TC0200011127.hg.1",-2.28,"SCARNA6",-2.593266,-1.047841
"TC0200011180.hg.1",-2.56,"AC114814.3",1.64733,1.439123
"TC0200011372.hg.1",-1.08,"AQP12A",-2.175233,-1.740944
"TC0200011398.hg.1",1.37,"snoMe28S-Am2634",-1.120894,-2.211215
"TC0200011400.hg.1",2.18,"SEPT2",-1.736461,-2.091154
"TC0200011532.hg.1",2.14,"AC011995.1",1.272998,1.079064
"TC0200011549.hg.1",-1.12,"TSSC1-IT1; AC073502.1",1,2.409777
"TC0200011574.hg.1",1.28,"NPM1P48",-1.009576,2.132565
"TC0200011626.hg.1",-1.08,"RP11-439M11.1",-2.012083,-1.158646
"TC0200011673.hg.1",-3.88,"MBOAT2",-1.013123,-1.118604
"TC0200011674.hg.1",-1.23,"HMGB1P25",1.803576,2.488817
"TC0200011726.hg.1",2.2,"NOL10",1.219602,1.138008
"TC0200011745.hg.1",-1.11,"ROCK2",-2.840235,-7.285309
"TC0200011803.hg.1",2.31,"NBAS",1,1
"TC0200011885.hg.1",-1.42,"TTC32",1.448962,2.205858
"TC0200011900.hg.1",-1,"RNU7-113P",-2.103716,-2.103716
"TC0200011923.hg.1",2.48,"APOB",1,1
"TC0200012030.hg.1",2.74,"HADHA",1.152031,1.800178
"TC0200012060.hg.1",2.04,"CGREF1",1,1
"TC0200012073.hg.1",2.34,"GTF3C2",-1.329985,-1.225126
"TC0200012091.hg.1",2.44,"ZNF512",1,1
"TC0200012103.hg.1",-4.29,"uc_338",1,1
"TC0200012117.hg.1",1.06,"SNRPGP7",2.09085,1.061453
"TC0200012159.hg.1",1.19,"CAPN13",-1.859352,-2.19217
"TC0200012321.hg.1",-1.11,"SNORA67",-2.347036,-1.514383
"TC0200012384.hg.1",2.59,"FTOP1",1,1.110462
"TC0200012418.hg.1",1.13,"LRPPRC",2.073431,1.897
"TC0200012429.hg.1",-1.48,"PPM1B",-3.543389,-4.270485
"TC0200012502.hg.1",-2.09,"AC093732.1",-1.034784,-1.16855
"TC0200012541.hg.1",1.03,"RNU6-282P",1.15081,2.341154
"TC0200012558.hg.1",-2.25,"SNORA75",1,1
"TC0200012620.hg.1",-1.02,"AC092839.3",1.156319,2.742003
"TC0200012643.hg.1",1.19,"CCDC88A",-1.278109,-2.209485
"TC0200012798.hg.1",-1.5,"RPS4XP5",-1.097309,-2.316698
"TC0200012818.hg.1",1.05,"AC114752.3",-1.047449,2.938378
"TC0200012891.hg.1",-1.31,"MIR4778",-2.236527,-1.52081
"TC0200012956.hg.1",1.41,"GFPT1",2.176968,2.650014
"TC0200012959.hg.1",2.02,"NFU1",-1.016162,-1.077957
"TC0200012977.hg.1",-1.91,"MXD1",-1.940784,-2.677618
"TC0200012991.hg.1",1.67,"MIR1285-2",-1.536939,-2.176847
"TC0200013040.hg.1",2.56,"RPS20P10",1,1
"TC0200013046.hg.1",1.16,"EXOC6B",-1.606098,-2.311069
"TC0200013134.hg.1",-1.55,"GAPDHP57",-2.062351,-1.321586
"TC0200013185.hg.1",-1.04,"MIR4264",-1.125792,2.007305
"TC0200013186.hg.1",1.28,"MIR8080",-1.204346,2.022515
"TC0200013273.hg.1",2.25,"RPSAP22",1,1
"TC0200013355.hg.1",2.32,"RNU2-63P",-1.417756,-1.044201
"TC0200013362.hg.1",2.33,"FABP1",1.221649,1.425976
"TC0200013392.hg.1",1.42,"IGKV1-22",2.057781,1.971686
"TC0200013567.hg.1",1.13,"ANKRD36B",1.529086,-2.002192
"TC0200013595.hg.1",1.1,"MGAT4A",-1.855001,-2.100394
"TC0200013616.hg.1",2.29,"AFF3",-1.169749,-1.304919
"TC0200013753.hg.1",2.25,"LOC285000",-1.754318,-1.591206
"TC0200013764.hg.1",-1.61,"AC009505.4",2.018159,2.018159
"TC0200013785.hg.1",1.71,"MIR548AU",-4.199829,-5.481765
"TC0200013805.hg.1",3.03,"GCC2",-2.270878,-2.097368
"TC0200013875.hg.1",1.69,"RGPD8; RGPD6",-2.066916,-4.263652
"TC0200013888.hg.1",1.13,"RP11-803D5.4",-2.271712,-1.106152
"TC0200013892.hg.1",1.07,"AC017002.2",1.34369,2.091141
"TC0200013894.hg.1",2.14,"ANAPC1",1,1.152015
"TC0200013902.hg.1",-1.19,"RGPD5; RGPD8",-1.40652,-2.823999
"TC0200013943.hg.1",1.9,"SLC35F5",1.043586,-3.419867
"TC0200014164.hg.1",-2.05,"CYP27C1",-1.216402,1.148268
"TC0200014254.hg.1",-1.01,"TUBA3E",-1.853253,-2.004705
"TC0200014256.hg.1",1.14,"RHOQP3",-1.126487,-2.008461
"TC0200014310.hg.1",-1.19,"MTCO1P18",2.021463,1.118069
"TC0200014379.hg.1",2.36,"EDDM3CP",1,1
"TC0200014450.hg.1",-1.17,"NXPH2",1.181656,-2.038616
"TC0200014453.hg.1",2.03,"AHCYP4",-1.148205,-1.148205
"TC0200014463.hg.1",-1,"AC073928.2",2.511798,1.463173
"TC0200014507.hg.1",2.16,"CTD-2252P21.1",1,1
"TC0200014509.hg.1",-1.63,"GTDC1",1.099914,-3.011432
"TC0200014563.hg.1",1.01,"SNORA48",2.482166,2.574799
"TC0200014602.hg.1",-1.33,"AC104777.1",2.072626,1
"TC0200014620.hg.1",-1.26,"CACNB4",-1.925496,-2.092185
"TC0200014702.hg.1",-1.1,"RNU6-932P",-2.403855,-1.324832
"TC0200014717.hg.1",1.28,"WDSUB1",1.503787,-2.261955
"TC0200014719.hg.1",-1.8,"BAZ2B",-1.171689,-2.056955
"TC0200014738.hg.1",1.28,"RBMS1",-2.287767,-1.748382
"TC0200014786.hg.1",-2.09,"AC092684.1",-1.089012,1.064687
"TC0200014792.hg.1",-2.2,"COBLL1",1.75411,1.559971
"TC0200014800.hg.1",1.16,"SLC38A11",1,-2.266522
"TC0200014814.hg.1",-1.1,"SCN1A",-2.150094,-3.00551
"TC0200014815.hg.1",-2.36,"Y_RNA",1.030897,1
"TC0200014819.hg.1",1.57,"SCN9A",1.337214,-5.967596
"TC0200014844.hg.1",-1.09,"CERS6-AS1",1.027181,4.293488
"TC0200014848.hg.1",-1.84,"ABCB11",-1.095615,-3.648518
"TC0200014882.hg.1",-1.08,"LOC101929753; AC012594.1",1.288855,2.000569
"TC0200014931.hg.1",-1.47,"RAPGEF4-AS1",2.08366,1.687737
"TC0200015019.hg.1",1.14,"KIAA1715",1,-2.805367
"TC0200015161.hg.1",-1.31,"LOC101927196; AC007966.1",1.15097,2.40224
"TC0200015194.hg.1",-1.35,"TFPI",-1.391992,-2.33558
"TC0200015214.hg.1",1.11,"OSGEPL1",-2.329548,-2.280073
"TC0200015221.hg.1",-1.18,"MSTN",-2.081595,-1.685293
"TC0200015266.hg.1",-1.26,"TMEFF2",-2.113743,-1.397085
"TC0200015336.hg.1",1.15,"ANKRD44",2.201307,1.705057
"TC0200015349.hg.1",1.27,"HSPD1",2.2021,1.289534
"TC0200015356.hg.1",1.57,"AC109589.1",-1.538943,-2.397232
"TC0200015388.hg.1",2.45,"KCTD18",-1.409321,-2.701518
"TC0200015402.hg.1",1.28,"FAM126B",-1.161637,-2.72962
"TC0200015460.hg.1",-1.04,"ICA1L",2.203474,1
"TC0200015464.hg.1",-1.2,"SNORA1",3.11668,1
"TC0200015476.hg.1",1.53,"RAPH1",1.238462,-2.614292
"TC0200015488.hg.1",-1,"AC009498.1",-2.002164,-1.031705
"TC0200015555.hg.1",1.17,"RP11-801F7.1",-2.363001,-3.751351
"TC0200015562.hg.1",1.21,"AC083900.1",-1.535895,-3.872136
"TC0200015590.hg.1",-2.37,"RNA5SP117",1.121819,1
"TC0200015643.hg.1",-1.07,"BARD1",2.003566,-1.098001
"TC0200015650.hg.1",2.53,"FN1",1.151032,-1.048554
"TC0200015664.hg.1",2.13,"POLHP1",-1.072078,1.062999
"TC0200015714.hg.1",1.05,"CXCR1",-2.101981,-2.468287
"TC0200015861.hg.1",2.6,"RN7SL807P",1,1.100013
"TC0200015862.hg.1",1.26,"HIGD1AP4",1.175472,2.493894
"TC0200015931.hg.1",3.45,"SLC19A3",1.099654,-1.748321
"TC0200015967.hg.1",1.17,"RNU6-964P",2.154032,1.467753
"TC0200016006.hg.1",-1.59,"HTR2B",-2.092996,-2.126956
"TC0200016019.hg.1",1.02,"SNORA75",4.030614,1.846035
"TC0200016020.hg.1",-1.11,"SNORD20",2.595441,2.595441
"TC0200016021.hg.1",1.62,"SNORD82",4.79174,2.160762
"TC0200016073.hg.1",-1.56,"KCNJ13",-2.616412,-3.258685
"TC0200016421.hg.1",2.25,"BRE",1.020297,-1.242305
"TC0200016423.hg.1",-1.25,"SPDYA",-2.207617,-1.744713
"TC0200016424.hg.1",1.77,"LBH",1.110747,-2.276614
"TC0200016434.hg.1",2.77,"Six3os1_1",1.215677,1.092141
"TC0200016455.hg.1",-1.08,"C2orf74",1.183057,-2.735985
"TC0200016470.hg.1",2.29,"SNRNP27",1.592628,1.381743
"TC0200016485.hg.1",3.01,"LINC00152",1.111695,1.469138
"TC0200016554.hg.1",-2.26,"OR7E28P",1,1
"TC0200016569.hg.1",-2.12,"HOXD4",1,1
"TC0200016585.hg.1",2.33,"MOB4",1.091649,-1.78251
"TC0200016586.hg.1",2.33,"HSPE1-MOB4",1.082427,-1.156616
"TC0200016637.hg.1",-1.16,"SMC6",-1.760786,-3.231601
"TC0200016645.hg.1",2.94,"ASXL2",1,-1.033036
"TC0200016676.hg.1",-2.05,"WDPCP",-1.387993,-1.88634
"TC0200016684.hg.1",-2.27,"TIA1",1.093551,-1.046244
"TC0200016701.hg.1",1.41,"LOC90784",2.096758,2.240111
"TC0200016710.hg.1",-1.34,"ANKRD36C",1.988114,-2.601367
"TC0200016720.hg.1",3.21,"RNF149",-1.06737,-1.06737
"TC0300006432.hg.1",-1.17,"LOC102723448; AY269186.1",-2.778989,1.249378
"TC0300006445.hg.1",-1.06,"AC087430.1",1,2.484594
"TC0300006477.hg.1",-1.53,"ITPR1",-2.795701,-1.1916
"TC0300006540.hg.1",1.04,"SRGAP3-AS4; AC026191.1",-1.223581,-3.467534
"TC0300006586.hg.1",-2.59,"MIR378B",-1.06519,1
"TC0300006758.hg.1",2.78,"PLCL2; MIR3714",-1.260914,-1.33488
"TC0300006791.hg.1",-1.63,"KAT2B",-1.127995,-3.072154
"TC0300006871.hg.1",-2.35,"HMGB3P12",1,-1.148205
"TC0300006904.hg.1",-3.3,"MESTP4",-1.29272,-1.29272
"TC0300007047.hg.1",-1.19,"RNA5SP129",2.135154,1.105807
"TC0300007073.hg.1",2.32,"SLC22A13",1.145248,1.295654
"TC0300007097.hg.1",2.09,"HNRNPA1P21",1,-1.107073
"TC0300007165.hg.1",-1.38,"NKTR",1.45799,-4.315507
"TC0300007171.hg.1",6.27,"LOC729083; RP11-70C1.1",1.233861,2.283996
"TC0300007312.hg.1",2.39,"DHX30",1,1
"TC0300007348.hg.1",-2.12,"RP11-572O6.1",-1.270609,-1.270609
"TC0300007386.hg.1",-1.02,"APEH",-2.08405,-1.253228
"TC0300007482.hg.1",2.4,"NISCH",-1.875259,-1.169012
"TC0300007489.hg.1",2.99,"GNL3; SNORD19B",1.59901,2.280135
"TC0300007586.hg.1",-2.78,"LOC101929159; RP11-755B10.3",-1.953038,1.121594
"TC0300007596.hg.1",2.41,"FLNB",-1.311975,-1.161549
"TC0300007647.hg.1",-1.12,"PTPRG",-1.604918,-2.180411
"TC0300007657.hg.1",-3.47,"C3orf14",1.265941,1
"TC0300007682.hg.1",1.04,"RP11-245J9.6",-1.309703,2.013423
"TC0300007734.hg.1",2.64,"COPS8P2",1,1
"TC0300007739.hg.1",2.41,"PSMC1",1.021706,-1.144987
"TC0300007821.hg.1",-2.14,"RNU1-62P",1,1.006118
"TC0300007842.hg.1",-1.46,"EBLN2",-1.461865,-2.228835
"TC0300007900.hg.1",1.26,"RNU6-386P",1.15267,-2.230443
"TC0300007938.hg.1",1.49,"RP11-6B4.1",2.032985,-1.556278
"TC0300007988.hg.1",1.43,"RN7SKP284",-2.110683,-1.00843
"TC0300008014.hg.1",-1.44,"RP11-159G9.5",-1.518187,-2.208214
"TC0300008070.hg.1",2.64,"HNRNPKP4",1.218495,-1.240026
"TC0300008096.hg.1",1.12,"POU5F1P7",1.102348,2.040086
"TC0300008098.hg.1",-2.16,"OR5H14",-1.46365,-1.37297
"TC0300008105.hg.1",-1.63,"OR5H6",-1.318795,-2.099637
"TC0300008148.hg.1",2.87,"TMEM45A",-1.102302,-1.677323
"TC0300008150.hg.1",2.15,"ADGRG7",-1.256264,-1.94034
"TC0300008269.hg.1",-1.04,"LOC101929607; RP11-115H18.1; TCONS_l2_00019853",-2.060108,-1.029797
"TC0300008324.hg.1",1.02,"PHLDB2; PLCXD2",-1.340202,-2.519469
"TC0300008371.hg.1",-1.46,"GRAMD1C",1.596752,-2.121684
"TC0300008484.hg.1",2.32,"PLA1A",-1.032341,1.722483
"TC0300008604.hg.1",2.37,"UMPS",1.186893,1.072621
"TC0300008787.hg.1",2.16,"RHO",1.010395,1.010395
"TC0300008798.hg.1",-2.06,"RNY3P13",1,1
"TC0300008888.hg.1",2.1,"CEP63",1,-1.576495
"TC0300008929.hg.1",-2.06,"LINC01210",-1.020686,1
"TC0300008952.hg.1",2.54,"FAIM",2.509588,1.964538
"TC0300008988.hg.1",-1.11,"RPL23AP41",-1.737111,-2.001067
"TC0300009136.hg.1",3.65,"TM4SF1-AS1",1.059321,-1.153645
"TC0300009153.hg.1",-2.6,"RP11-167H9.4",-1.222776,1
"TC0300009167.hg.1",2.13,"EIF2A",1.057832,1
"TC0300009183.hg.1",1.22,"SETP11",1,-2.21229
"TC0300009190.hg.1",1.37,"AADACP1",1,-5.06977
"TC0300009194.hg.1",-2.27,"SUCNR1",-1.255516,-1.430907
"TC0300009224.hg.1",2.19,"P2RY1",-1.203912,-1.021408
"TC0300009231.hg.1",2.17,"RP11-292E2.1",1,1
"TC0300009324.hg.1",2.57,"IQCJ; SCHIP1; IQCJ-SCHIP1",1,1
"TC0300009332.hg.1",1.07,"BRD7P2",1.031226,-2.079793
"TC0300009466.hg.1",-1.51,"RNU6-315P",1.495347,2.138012
"TC0300009578.hg.1",-2.11,"RP11-114M1.1",1.25765,1.041635
"TC0300009597.hg.1",-1.5,"PIK3CA",-1.049353,-2.299755
"TC0300009606.hg.1",-1.12,"MTHFD2P7",2.047382,-1.04888
"TC0300009701.hg.1",2.5,"PSMD2",-1.570387,1.17769
"TC0300009731.hg.1",1.25,"MAP3K13",-2.735548,-4.186749
"TC0300009773.hg.1",-2.45,"FETUB",1.167757,-3.674863
"TC0300009788.hg.1",2.05,"RPS20P14",1,1
"TC0300009801.hg.1",1.03,"snoU13",3.35874,1.55794
"TC0300009815.hg.1",-1.48,"LPP",-1.068525,-2.62901
"TC0300009881.hg.1",-1.41,"FGF12-AS2; RP11-91M9.1",1.083899,2.914725
"TC0300009890.hg.1",-1.23,"HRASLS",-2.189649,-2.074754
"TC0300010010.hg.1",1.01,"TM4SF19-AS1",-1.704348,-2.93742
"TC0300010033.hg.1",2.48,"PAK2",1.068717,1.296202
"TC0300010068.hg.1",-1.36,"LRCH3",-2.009923,-1.073431
"TC0300010085.hg.1",1.25,"TCONS_l2_00020055",-1.207456,-2.270218
"TC0300010132.hg.1",-2.39,"ITPR1-AS1",-1.11027,1.920111
"TC0300010217.hg.1",3.99,"CIDEC",-2.289005,1.191864
"TC0300010246.hg.1",1.31,"ATP2B2-IT2",1.061445,3.524796
"TC0300010274.hg.1",2.14,"TAMM41",-1.570234,-1.45489
"TC0300010403.hg.1",2.79,"HMGN2P7",1.412578,-1.228715
"TC0300010437.hg.1",-2.06,"PLCL2",1.174283,1.167255
"TC0300010496.hg.1",-1.23,"UBE2E2-AS1; AC135966.1",1.150228,2.30186
"TC0300010624.hg.1",1.49,"MIR466",2.086174,1.562125
"TC0300010672.hg.1",2.83,"UBP1",-1.180796,-1.180796
"TC0300010676.hg.1",1.33,"CLASP2",-1.114796,-2.596971
"TC0300010714.hg.1",2.75,"TRANK1",1.119691,-1.176752
"TC0300010720.hg.1",1.06,"EPM2AIP1",-2.458418,-2.458418
"TC0300010723.hg.1",-1.01,"Y_RNA",-3.380977,-2.056826
"TC0300010919.hg.1",-3.28,"LARS2-AS1",1,1
"TC0300010931.hg.1",1.02,"LZTFL1",1.160383,-2.903212
"TC0300010968.hg.1",-2.04,"SETD2",1,-1.569157
"TC0300010980.hg.1",3.11,"PTPN23",-1.072331,1.555513
"TC0300011016.hg.1",2.19,"NME6",1,1
"TC0300011018.hg.1",-2.1,"MIR2115",-1.169531,1
"TC0300011081.hg.1",1.42,"UBA7; MIR5193",-1.651709,-2.165575
"TC0300011135.hg.1",2.59,"VPRBP",1,1
"TC0300011163.hg.1",1.35,"MIR135A1",1.216798,2.200254
"TC0300011222.hg.1",2.97,"ACTR8",-1.222708,1.405487
"TC0300011256.hg.1",-1.19,"FAM208A",-1.042913,-2.190833
"TC0300011308.hg.1",2.15,"RP11-359I18.5",-1.036881,-1.160817
"TC0300011378.hg.1",1.99,"THOC7",1.099791,-2.020679
"TC0300011391.hg.1",1.11,"ADAMTS9",-2.614854,1.254932
"TC0300011403.hg.1",1.4,"MAGI1",-1.514351,-2.253957
"TC0300011455.hg.1",1.12,"FRMD4B",-1.210682,-2.382869
"TC0300011528.hg.1",2.11,"RP11-433A10.2",1.070037,1.812863
"TC0300011550.hg.1",-1.32,"PDZRN3",-1.056198,2.105554
"TC0300011566.hg.1",1.56,"CNTN3",1,-2.95738
"TC0300011573.hg.1",1.27,"RN7SL294P",-2.441825,-2.312302
"TC0300011577.hg.1",-1.71,"MYLKP1",-2.09259,-2.09259
"TC0300011694.hg.1",-1.21,"CADM2-AS1",2.041034,1.12626
"TC0300011711.hg.1",-1.24,"MIR4795",-1.063153,-2.480103
"TC0300011747.hg.1",1.03,"MTCO1P6",1.487624,2.592942
"TC0300011757.hg.1",1.26,"PROS1",-1.975038,-2.115927
"TC0300011758.hg.1",-1.52,"HMGN1P7",-2.087708,1
"TC0300011802.hg.1",-1.13,"GABRR3",-2.092968,-2.523419
"TC0300011834.hg.1",1.95,"FILIP1L",-1.436651,-6.064716
"TC0300012016.hg.1",1.26,"LOC101929717; RP11-572M11.3",1.124256,2.215175
"TC0300012021.hg.1",1.04,"CFAP44",-2.497717,-1.807706
"TC0300012024.hg.1",1.05,"SIDT1-AS1; AC055740.2",3.114348,1.093725
"TC0300012027.hg.1",-1,"USF3",-1.411422,-3.515452
"TC0300012048.hg.1",-1.52,"ZBTB20; MIR568",-1.624122,-5.141503
"TC0300012058.hg.1",1.12,"MIR4796",3.008928,1
"TC0300012102.hg.1",1.17,"RP11-384F7.2",-2.307931,-2.083978
"TC0300012118.hg.1",1.21,"TMEM39A",1.00336,-2.282999
"TC0300012158.hg.1",-2.08,"RP11-500K19.1",-1.096526,1.161549
"TC0300012168.hg.1",2.29,"RN7SL172P",-1.032935,-1.032935
"TC0300012170.hg.1",1.26,"GOLGB1",-1.605809,-2.139153
"TC0300012252.hg.1",-1.26,"SNX4",-1.093884,-2.053223
"TC0300012318.hg.1",-1.02,"MIR7976",2.473956,6.011813
"TC0300012351.hg.1",-1.32,"SNORA24",-2.45743,1
"TC0300012355.hg.1",2.06,"FTH1P4",-1.014628,-1.014628
"TC0300012361.hg.1",1.2,"MARK2P17",2.114578,1.145026
"TC0300012429.hg.1",-2.02,"RN7SKP212",1,1.130335
"TC0300012445.hg.1",1.24,"MRPL3",2.035692,1.561346
"TC0300012534.hg.1",1.25,"STAG1",1.049317,-2.789371
"TC0300012572.hg.1",-2.25,"CEP70",-1.129716,-1.639777
"TC0300012601.hg.1",-1.43,"RN7SL724P",3.161744,1.265494
"TC0300012635.hg.1",-1.12,"KRT18P35",-2.005984,-1.594175
"TC0300012665.hg.1",-1.25,"XRN1",-2.334252,-5.015976
"TC0300012688.hg.1",1.17,"GAPDHP47",-2.81072,-2.206944
"TC0300012739.hg.1",1.01,"RNU6-505P",1.395392,2.126263
"TC0300012746.hg.1",1.11,"RP11-78O22.1",-2.060879,-1.703297
"TC0300012751.hg.1",-1.1,"RP11-501O2.4",1.188449,2.420961
"TC0300012764.hg.1",-2.07,"HLTF",-1.010507,-1.027707
"TC0300012773.hg.1",2.14,"TM4SF1",1.401732,1.153246
"TC0300012869.hg.1",-1.21,"RP11-439C8.2",-1.169555,2.080789
"TC0300012879.hg.1",-1.06,"RP11-674E16.4",1.40689,2.175278
"TC0300012880.hg.1",2.27,"C3orf33",1.332208,1.366268
"TC0300012886.hg.1",2.12,"ALG1L15P",1.009485,-1.063132
"TC0300012918.hg.1",2.48,"CCNL1",-1.233964,-1.233964
"TC0300012960.hg.1",-1.53,"IQCJ-SCHIP1-AS1",-1.26381,-2.649243
"TC0300012970.hg.1",2.12,"KPNA4",1.083576,-1.193725
"TC0300012973.hg.1",-1.09,"RP11-16N11.2",-1.034454,2.115092
"TC0300013008.hg.1",-1.07,"MIR1263",1.038866,2.143012
"TC0300013025.hg.1",1.15,"BCHE",1,-2.233707
"TC0300013103.hg.1",-1.3,"RPL22L1",1.033673,2.625113
"TC0300013106.hg.1",-1.68,"RNU1-70P",-1.108877,-2.953242
"TC0300013107.hg.1",-1.61,"SLC2A2",1.008926,-2.491681
"TC0300013184.hg.1",1.62,"EEF1B2P8",1,2.11042
"TC0300013240.hg.1",1.19,"RNU6-1120P",-2.460139,-1.621175
"TC0300013257.hg.1",-1.16,"SNORA25",1.122512,2.707084
"TC0300013350.hg.1",-1.08,"YEATS2",-2.18442,-2.814093
"TC0300013357.hg.1",3.37,"PARL",1.180853,1.167361
"TC0300013409.hg.1",1.21,"EIF2S2P2",-1.906306,-2.180063
"TC0300013414.hg.1",2.02,"RPL4P4",1.506562,1.110516
"TC0300013417.hg.1",1.87,"LIPH",2.848632,1.460194
"TC0300013439.hg.1",-2.75,"LOC253573; RP11-48F14.1",-1.019357,1
"TC0300013479.hg.1",-2.16,"RP11-132N15.2",1,-1.198043
"TC0300013518.hg.1",1.14,"RNU6-1109P",1,2.451662
"TC0300013537.hg.1",1.09,"Y_RNA",2.893007,3.027422
"TC0300013563.hg.1",-2.06,"ATP13A5",1.170926,1
"TC0300013609.hg.1",2.29,"LSG1",1.097537,1.082314
"TC0300013701.hg.1",-1.22,"UBXN7",-3.667508,-1.261116
"TC0300013707.hg.1",1.15,"WDR53",2.133985,1.801589
"TC0300013736.hg.1",1.01,"DLG1",1.015866,-2.49163
"TC0300013775.hg.1",1.07,"ANKRD18DP",3.075519,-1.139894
"TC0300013834.hg.1",2.63,"RAD54L2",1,1.234306
"TC0300013842.hg.1",1.09,"SLMAP",-1.563143,-2.233382
"TC0300013863.hg.1",1.28,"UPK1B",-2.084165,-1.783461
"TC0300013864.hg.1",2.74,"PDIA5; MIR7110",-1.008429,-1.332965
"TC0300013865.hg.1",-1.14,"SEC22A",2.461674,1.118209
"TC0300013874.hg.1",1.78,"SRPRB",1.173494,2.212228
"TC0300013908.hg.1",1.02,"FXR1",1.07724,-2.154003
